Name,sleeper_id,Pos,Team,exp,bd,age,espn_id,clean_name,Bye,ESPN,ECR,ADP,Yahoo,Sleeper,Rank
Sam Schnee,11957,WR,FA,1,2000-04-01,25.4,NA,NA,,999,999,999,999,999.0,1522
Jared Murphy,5775,WR,FA,4,1994-07-20,31.1,NA,NA,,999,999,999,999,999.0,1523
John Baron,6621,K,FA,3,1996-01-25,29.6,NA,NA,,999,999,999,999,999.0,1524
Derrick Willies,5539,WR,FA,4,1994-10-12,30.9,NA,NA,,999,999,999,999,999.0,1525
Cole Hikutini,4460,TE,FA,5,1994-06-11,31.2,NA,NA,,999,999,999,999,999.0,1526
Gerrid Doaks,7539,RB,FA,3,1998-06-09,27.2,NA,NA,,999,999,999,999,999.0,1527
Kieren Duncan,3861,WR,FA,0,1993-10-12,31.9,NA,NA,,999,999,999,999,999.0,1528
DeAndre Goolsby,5256,TE,FA,4,1996-06-12,29.2,NA,NA,,999,999,999,999,999.0,1529
Kalen Ballage,4994,RB,FA,4,1995-12-22,29.7,NA,NA,,999,999,999,999,999.0,1530
Case Keenum,1737,QB,CHI,13,1988-02-17,37.5,15168,case keenum,5,999,999,999,999,999.0,1531
Davis Koppenhaver,6469,TE,FA,3,1996-01-24,29.6,NA,NA,,999,999,999,999,999.0,1532
Don Jackson,3722,RB,FA,6,1993-09-07,32.0,NA,NA,,999,999,999,999,999.0,1533
Carson Williams,7624,TE,FA,1,,,NA,NA,,999,999,999,999,999.0,1534
Matt Flanagan,5194,TE,FA,4,1995-03-26,30.4,NA,NA,,999,999,999,999,999.0,1535
Jason Moore,6247,WR,FA,4,1995-06-23,30.2,NA,NA,,999,999,999,999,999.0,1536
Chris Matthews,2292,WR,FA,9,1989-10-06,35.9,NA,NA,,999,999,999,999,999.0,1537
Patrick Carr,7425,RB,FA,2,1995-09-22,29.9,NA,NA,,999,999,999,999,999.0,1538
Miller Forristall,7854,TE,FA,3,1998-03-11,27.5,NA,NA,,999,999,999,999,999.0,1539
Connor Harris,4437,FB,FA,5,1993-06-22,32.2,NA,NA,,999,999,999,999,999.0,1540
Jordan Franks,5253,TE,FA,5,1996-02-01,29.6,NA,NA,,999,999,999,999,999.0,1541
Marquise Goodwin,1346,WR,FA,11,1990-11-19,34.8,15839,marquise goodwin,,999,999,999,999,999.0,1542
Synjyn Days,2949,RB,FA,0,1991-10-09,33.9,NA,NA,,999,999,999,999,999.0,1543
